Address;Changed Use;City;Completed Date;Completed Month;Completed Year;Description;Existing Use;Filed Date;Issued Date;Issued Month;Issued Year;Neighborhoods Boundaries;Permit Expiration Date;Permit Number;Permit Type;Proposed Construction Type Description;Proposed Use;Record Id;State;Zipcode;Estimated Cost;Estimated Revised Diff;Filed Issued Days;Issued Completed Days;Issued Completed Years;Issued Expiration Days;Latitude;Longitude;Number of Records;Revised Cost
100 California St,San Francisco,CA,94111;True;San Francisco;8.01.2015;Jan;2015;interior remodel of portion of basemt,main & 2/f in an(e)15 story bldg. basemt:conversion of 166sf(e)office to fitness & remodel of 3266 sq ft (e)fitness space.includes hvac upgrade/lighting replacement/finishes. main floor: replace flooring. 2nd  floor:add office rm/new ceiling/lighting/;office;15.04.2014;20.06.2014;Jun;2014;Financial District/South Beach;4.06.2017;201404153303;additions alterations or repairs;constr_type_1;health studios & gym;133873463367;CA;94111;571000;0;66;202;1;1080;37,7932286;-122,3998767;1;571000
1200 4th St,San Francisco,CA,94158;True;San Francisco;9.09.2015;Sep;2015;indicator piles for site permit #2012-0207-3728;vacant lot;13.03.2012;26.03.2012;Mar;2012;Mission Bay;11.03.2015;201203135987;additions alterations or repairs;constr_type_3;apartments;1264739484790;CA;94158;567000;0;13;1262;3;1080;37,7725857;-122,3914906;1;567000
676 16th Av,San Francisco,CA,94118;True;San Francisco;26.04.2011;Apr;2011;"extending to rear of yard by 14' - 4 1/2"" plus addition of 2 stories over (e) to create a new unit.";1 family dwelling;13.06.2006;6.10.2008;Oct;2008;Outer Richmond;21.09.2011;200606133867;additions alterations or repairs;wood_frame_5;2 family dwelling;1056203107579;CA;94118;560250;0;846;932;3;1080;37,77535965;-122,474474299;1;560250
209 9th St,San Francisco,CA,94103;True;San Francisco;2.07.2012;Jul;2012;add 2 new floors to building, 3 new residential units. replace existing staircases and elevator. new sprinkler system throughtout.;retail sales;16.10.2008;9.02.2011;Feb;2011;South of Market;24.01.2014;200810164336;additions alterations or repairs;constr_type_3;apartments;1153637165232;CA;94103;550000;464657,9;846;509;1;1080;37,7748809;-122,4127786;1;1014657,9
441 Sutter St,San Francisco,CA,94108;True;San Francisco;20.04.2015;Apr;2015;t.i of (e) structure consisting of new finishes throughout & upgrading plumbing, mechanical & electrical systems for proposed use & addition of an elevator for accessibility to all levels. existing storefront door to be removed and relocated;retail sales;18.12.2013;13.08.2014;Aug;2014;Financial District/South Beach;28.07.2017;201312184521;additions alterations or repairs;wood_frame_5;food/beverage hndlng;132751167150;CA;94108;550000;674600;238;250;1;1080;37,7892272;-122,4077251;1;1224600
149 Fell St,San Francisco,CA,94102;True;San Francisco;26.10.2016;Oct;2016;change of use to a-2. tenant improvement for full service restaurant. work to include ada bathrooms, ada entries, new storefront windows, kitchen, bar seating area at ground floor and construction of apprx 525 sf storage mezzanine.n/a for maher ordinance.;office;30.09.2014;26.01.2015;Jan;2015;Hayes Valley;10.01.2018;201409307637;additions alterations or repairs;constr_type_3;food/beverage hndlng;135722282623;CA;94102;550000;0;118;639;1;1080;37,77600755;-122,420381697;1;550000
2630 Mission St,San Francisco,CA,94110;True;San Francisco;29.05.2018;May;2018;ti. change of use from retail to dental clinic. remodel of previously finished-out space within existing building. new finish-out to be used as dental care facility. modifications to the (e) conditions & extension of(e) utilities. install new elevator and shaft under separate permit# 2017-1010-0784.;retail sales;10.10.2017;5.12.2017;Dec;2017;Mission;19.11.2020;201710100775;otc alterations permit;wood_frame_5;clinics-medic/dental;1482717163317;CA;94110;550000;150000;56;175;1;1080;37,75495305;-122,419077243;1;700000
855 Brannan St,San Francisco,CA,94103;True;San Francisco;26.10.2018;Oct;2018;1/f #b3- 1st time t.i. for new restaurant in a new construction bldg. work to include new partitions, counter seating, take out window, walk-in refrig., storage area, commercial kitchen, title 24, mechanical. signage under separate permit. n/a ordinance #155-13;vacant lot;16.10.2017;29.03.2018;Mar;2018;South of Market;13.03.2021;201710161348;otc alterations permit;constr_type_1;food/beverage hndlng;1483514504576;CA;94103;550000;50000;164;211;0;1080;37,771764551;-122,404685163;1;600000
450 Bryant St,San Francisco,CA,94107;True;San Francisco;10.10.2018;Oct;2018;"general renovation of finishes, lighting addition of new reception and seating staircase between 1"" and 2nd fllor - mep defered  maher na. assembly & storage area under separate permit.";school;15.03.2018;4.04.2018;Apr;2018;Financial District/South Beach;19.03.2021;201803153757;otc alterations permit;constr_type_3;office;1500594361797;CA;94107;550000;215000;20;189;0;1080;37,782141625;-122,394951167;1;765000
419 Fulton St,San Francisco,CA,94102;True;San Francisco;17.11.2000;Nov;2000;horizontal addition;warehouse,no frnitur;28.04.1998;5.08.1999;Aug;1999;Hayes Valley;5.08.2001;;additions alterations or repairs;wood_frame_5;apartments;66651781746;CA;94102;550000;270000;464;470;1;731;37,7784701;-122,423775922;1;820000
58 Collingwood St,San Francisco,CA,94114;True;San Francisco;30.09.2005;Sep;2005;raise (e)  structure. remodel (e) home & add 2 floors below with 2 car garage & one unit on floors 1;1 family dwelling;8.12.2003;8.10.2004;Oct;2004;Castro/Upper Market;8.10.2006;200312081771;additions alterations or repairs;wood_frame_5;apartments;964748140734;CA;94114;550000;0;305;357;1;730;37,7614781;-122,436429286;1;550000
1783 32nd Av,San Francisco,CA,94122;True;San Francisco;23.04.2009;Apr;2009;horizontal & vertical addition to (e) single family residence & commercial space to convert bldg into a 3 unit residential bldg consists of each unit to have living room, dining room, kitchen, 2 bedrooms, study room and 2 bathrooms. 3 parking spaces are located in the basement.;1 family dwelling;16.11.2004;19.04.2007;Apr;2007;Sunset/Parkside;19.04.2009;200411169328;additions alterations or repairs;wood_frame_5;apartments;999040122025;CA;94122;550000;269000;884;735;2;731;37,754010327;-122,490531939;1;819000
300 Ivy St,San Francisco,CA,94102;True;San Francisco;7.07.2014;Jul;2014;tenant improvement to create a new 2972 sf restaurant within an existing building. occupancy class to be changed from m to a-2. restaurant will include dining areas kitchen, bar, and restroom. no additions or alterations to exterior of existing building. sprinkler, life safety on separate permit;retail sales;26.11.2013;20.03.2014;Mar;2014;Hayes Valley;4.03.2017;201311262913;additions alterations or repairs;constr_type_1;food/beverage hndlng;1325469474359;CA;94102;531760;0;114;109;0;1080;37,7773539;-122,423731051;1;531760
1 Market St,San Francisco,CA,94105;True;San Francisco;2.07.2018;Jul;2018;demolition of existing interior walls & ceiling. remove plumbing & electrical fixtures 1st floor new dental office.;office;12.06.2017;26.06.2017;Jun;2017;Financial District/South Beach;10.06.2020;201706129005;additions alterations or repairs;constr_type_1;clinics-medic/dental;1466453164604;CA;94105;524000;0;14;371;1;1080;37,79381995;-122,394814443;1;524000
100 Church St,San Francisco,CA,94114;True;San Francisco;4.01.2019;Jan;2019;tenant improvement of existing ground level space to include non-structural partitions, doors, fixtures, finishes, electrical, mechanical, plumbing. change of use from mercantile to gymnasium yoga exercise use.reference to conditional use #2017-014466cua;retail sales;24.05.2018;11.09.2018;Sep;2018;Castro/Upper Market;26.08.2021;201805249985;additions alterations or repairs;constr_type_3;health studios & gym;1509300466204;CA;94114;520000;0;110;115;1;1080;37,7533788;-122,4276161;1;520000
555 9th St,San Francisco,CA,94103;True;San Francisco;12.09.2012;Sep;2012;#83 new 4715 sf tenant improvement of existing gr floor retail space ina 2 story building for branch bank. work includes new interior atm. non structural partitions, ceilings, soffits, finishes, furniture, related hvac, elec, plumbing.;retail sales;8.06.2011;1.11.2011;Nov;2011;South of Market;16.10.2014;201106087639;otc alterations permit;constr_type_2;lending institution;1240271167586;CA;94103;513935;0;146;316;1;1080;37,7709988;-122,4077368;1;513935
2 New Montgomery St,San Francisco,CA,94105;True;San Francisco;22.03.2016;Mar;2016;ti and change of use for new wine store on gr floor and basement. work includes new partitions, fixtures, millwork. no change to exterior. mep and fire protection under separate permit maher not req;food/beverage hndlng;30.04.2015;15.10.2015;Oct;2015;Financial District/South Beach;29.09.2018;201504304994;otc alterations permit;constr_type_1;retail sales;1379857164500;CA;94105;512000;0;168;159;1;1080;37,7881779;-122,4024347;1;512000
1330 Hampshire St,San Francisco,CA,94110;True;San Francisco;18.07.2017;Jul;2017;side horizontal & 2 story vertical addition to transform (e) single family residence to 2 family residence. renovate (e) unit to expand down for master suite area. facade renovation, new shared entry space & new parking space.;1 family dwelling;1.04.2015;22.12.2015;Dec;2015;Mission;6.12.2018;201504012491;additions alterations or repairs;wood_frame_5;2 family dwelling;1376450173060;CA;94110;510000;162000;265;574;2;1080;37,7508621;-122,407339413;1;672000
2429 California St,San Francisco,CA,94115;True;San Francisco;6.04.2012;Apr;2012;interior tenant improvement. change of use from laundromat to bank. non structural partitions, finishes, breakroom, restrooms, interior atms, hvac, elec, plumb.;retail sales;9.11.2011;12.12.2011;Dec;2011;Pacific Heights;26.11.2014;201111098610;otc alterations permit;wood_frame_5;lending institution;125499477910;CA;94115;506000;0;33;116;1;1080;37,7884762;-122,434301684;1;506000
2 Stockton St,San Francisco,CA,94108;True;San Francisco;12.01.2006;Jan;2006;build out empty tenant basement & street level for new book store.space previously was a restaurant-;food/beverage hndlng;22.03.2005;9.06.2005;Jun;2005;Financial District/South Beach;9.06.2007;200503228144;additions alterations or repairs;constr_type_3;retail sales;1010154348481;CA;94108;500000;280000;79;217;1;730;37,7901049;-122,4071126;1;780000
321 7th Av,San Francisco,CA,94118;True;San Francisco;31.08.2007;Aug;2007;interior remodel, 4th floor addition and back addition;2 family dwelling;17.05.2005;16.06.2006;Jun;2006;Inner Richmond;16.06.2008;200505172618;additions alterations or repairs;wood_frame_5;apartments;101584899788;CA;94118;500000;125000;395;441;1;731;37,7824085;-122,465744827;1;625000
323 7th Av,San Francisco,CA,94118;True;San Francisco;31.08.2007;Aug;2007;interior remodel, 4th floor addition and back addition;2 family dwelling;17.05.2005;16.06.2006;Jun;2006;Inner Richmond;16.06.2008;200505172618;additions alterations or repairs;wood_frame_5;apartments;1015851438657;CA;94118;500000;125000;395;441;1;731;37,7824085;-122,465744827;1;625000
433 Turk St,San Francisco,CA,94102;True;San Francisco;4.04.2007;Apr;2007;outpatient clinic for drug treatment & counseling.interior demolition,stairs,elevator,partitions,;office;11.08.2005;9.05.2006;May;2006;Tenderloin;9.05.2008;200508110111;additions alterations or repairs;constr_type_3;clinics-medic/dental;1025300300896;CA;94102;500000;300000;271;330;1;731;37,782237;-122,416323045;1;800000
2949 Sacramento St,San Francisco,CA,94115;True;San Francisco;11.05.2009;May;2009;horizotal addition - expansion of (e) residence by means of a 12' rear yard projection (separate variance is filed). addition of 2 car garage & 2nd unit in basement. expansion of existing 2nd floor towards front & rear by 12' rear yard projection.;1 family dwelling;23.02.2006;21.08.2007;Aug;2007;Pacific Heights;21.08.2009;200602235320;additions alterations or repairs;wood_frame_5;2 family dwelling;104481187475;CA;94115;500000;100000;544;629;2;731;37,7886269;-122,441411782;1;600000
747 Front St,San Francisco,CA,94111;True;San Francisco;12.07.2007;Jul;2007;tenant improvements to + - 7,000 sqft. including partitions, finishes, electrical, plumbing & hvac two toilet rooms, offices and storage space.;office;22.12.2006;24.04.2007;Apr;2007;Financial District/South Beach;24.04.2009;200612220429;additions alterations or repairs;constr_type_2;health studios & gym;1078161373249;CA;94111;500000;300000;123;79;0;731;37,798234245;-122,399877776;1;800000
375 25th Av,San Francisco,CA,94121;True;San Francisco;14.09.2009;Sep;2009;proposed horizontal & vertical addition to accommodate 2 additional units.;1 family dwelling;24.01.2007;19.12.2007;Dec;2007;Outer Richmond;19.12.2009;200701242492;additions alterations or repairs;wood_frame_5;apartments;108106598451;CA;94121;500000;453165;329;635;2;731;37,7825044;-122,485164317;1;953165
349 25th Av,San Francisco,CA,94121;True;San Francisco;14.08.2009;Aug;2009;proposed horizontal and vertical additon to accomodate 2 additional units and 2 additional stories to existing 2 story, single family residence.;1 family dwelling;22.03.2007;15.04.2008;Apr;2008;Outer Richmond;15.04.2010;200703226942;additions alterations or repairs;wood_frame_5;apartments;108722498446;CA;94121;500000;125000;390;486;1;730;37,78298075;-122,485188105;1;625000
355 11th St,San Francisco,CA,94103;True;San Francisco;15.10.2008;Oct;2008;selective exterior demo including removal of (e)siding.selective interior demo including removal of (e)non-historical mezz.heavy timber frame & concrete structural elements to remain.restoration and/or replace (e)historical windows,new exterior cladding, exit stairs, entrances,elevator, plumbing,ele;warehouse, furniture;13.06.2007;7.09.2007;Sep;2007;South of Market;7.03.2010;200706133819;additions alterations or repairs;constr_type_3;office;1096810156696;CA;94103;500000;700000;86;404;1;912;37,7712823;-122,4130526;1;1200000
436 Moraga St,San Francisco,CA,94122;True;San Francisco;10.10.2013;Oct;2013;demolish (e) rear addition to orginal structure. demolish partial third floor. remodel orginal structure, vertical and horizontal expansion. new stucco @ front & entry facade, cement board other elevations. adding 2 1/2 baths.;1 family dwelling;14.07.2011;11.01.2012;Jan;2012;Inner Sunset;26.12.2014;201107140249;additions alterations or repairs;wood_frame_5;2 family dwelling;1243774121064;CA;94122;500000;211500;181;638;1;1080;37,7566469;-122,4676017;1;711500
550 Florida St,San Francisco,CA,94110;True;San Francisco;23.10.2015;Oct;2015;renov of(e)prod facility&accessy office.work to incl new ada entries,ada ramps,adapt(e)freight elev.to ada elevator,ada bathrms.constr an accessory show room for primary production use. int. partition work @ gr/fl&2/flr.plans to incl area for coffee kiosk on 18th st&voluntary seismic stren.;office;26.09.2011;27.01.2012;Jan;2012;Mission;11.01.2015;201109265463;additions alterations or repairs;constr_type_3;retail sales;1250695472904;CA;94110;500000;1000000;123;1365;3;1080;37,762320531;-122,411251041;1;1500000
2900 18th St,San Francisco,CA,94110;True;San Francisco;23.10.2015;Oct;2015;renov of(e)prod facility&accessy office.work to incl new ada entries,ada ramps,adapt(e)freight elev.to ada elevator,ada bathrms.constr an accessory show room for primary production use. int. partition work @ gr/fl&2/flr.plans to incl area for coffee kiosk on 18th st&voluntary seismic stren.;office;26.09.2011;27.01.2012;Jan;2012;Mission;11.01.2015;201109265463;additions alterations or repairs;constr_type_3;retail sales;1250696168795;CA;94110;500000;1000000;123;1365;3;1080;37,761774;-122,411253;1;1500000
